iter	Passed	Remaining
0	3	365
1	6	314
2	9	305
3	11	277
4	14	280
5	17	280
6	20	275
7	23	270
8	26	264
9	29	262
10	32	260
11	34	256
12	37	253
13	40	249
14	43	248
15	45	240
16	47	232
17	49	225
18	50	217
19	52	210
20	54	203
21	55	196
22	58	194
23	60	191
24	62	186
25	63	181
26	65	175
27	66	171
28	68	167
29	70	163
30	72	162
31	74	159
32	76	155
33	78	151
34	79	147
35	81	144
36	82	140
37	85	138
38	87	137
39	89	133
40	90	130
41	91	126
42	92	123
43	94	119
44	95	117
45	97	114
46	101	114
47	103	111
48	104	109
49	106	106
50	107	103
51	109	100
52	110	98
53	113	96
54	115	94
55	117	92
56	119	89
57	121	87
58	123	85
59	124	83
60	127	81
61	130	79
62	131	77
63	133	75
64	134	72
65	136	70
66	137	67
67	139	65
68	143	64
69	144	62
70	146	59
71	148	57
72	149	55
73	151	53
74	152	50
75	154	48
76	156	46
77	158	44
78	160	42
79	161	40
80	163	38
81	164	36
82	165	33
83	168	32
84	170	30
85	172	28
86	174	26
87	175	23
88	177	21
89	178	19
90	180	17
91	182	15
92	184	13
93	186	11
94	188	9
95	189	7
96	190	5
97	192	3
98	194	1
99	196	0
