iter	Passed	Remaining
0	261	260964
1	264	131949
2	268	89095
3	269	67134
4	270	53899
5	272	45109
6	273	38786
7	276	34309
8	278	30696
9	280	27721
10	328	29520
11	330	27198
12	331	25206
13	333	23495
14	334	21993
15	338	20806
16	340	19671
17	341	18637
18	342	17708
19	344	16875
20	345	16111
21	346	15425
22	348	14821
23	351	14288
24	353	13780
25	354	13293
26	356	12831
27	357	12407
28	358	12007
29	360	11642
30	361	11305
31	364	11013
32	367	10775
33	368	10480
34	370	10203
35	371	9952
36	373	9713
37	374	9478
38	376	9279
39	379	9109
40	381	8915
41	382	8727
42	383	8544
43	386	8395
44	387	8226
45	388	8063
46	391	7928
47	392	7790
48	394	7660
49	397	7543
50	398	7421
51	400	7293
52	401	7171
53	404	7093
54	406	6989
55	408	6884
56	409	6778
57	411	6682
58	412	6581
59	413	6482
60	414	6387
61	417	6320
62	419	6241
63	421	6164
64	422	6083
65	424	6004
66	425	5930
67	427	5854
68	428	5778
69	429	5704
70	431	5643
71	433	5586
72	435	5527
73	436	5463
74	438	5402
75	439	5343
76	440	5282
77	441	5222
78	443	5167
79	444	5111
80	446	5071
81	448	5026
82	449	4970
83	451	4925
84	452	4875
85	454	4826
86	455	4782
87	456	4734
88	458	4689
89	460	4654
90	462	4618
91	463	4576
92	465	4538
93	466	4498
94	468	4460
95	469	4420
96	470	4382
97	473	4356
98	477	4345
99	479	4317
100	481	4284
101	482	4251
102	484	4217
103	485	4183
104	487	4158
105	489	4130
106	491	4104
107	493	4077
108	494	4045
109	496	4017
110	497	3987
111	499	3956
112	500	3931
113	502	3906
114	503	3878
115	505	3853
116	507	3826
117	508	3798
118	509	3771
119	510	3744
120	511	3718
121	512	3690
122	513	3664
123	516	3646
124	518	3630
125	520	3609
126	521	3584
127	522	3561
128	524	3538
129	525	3515
130	526	3492
131	527	3469
132	529	3452
133	531	3436
134	533	3418
135	535	3399
136	536	3379
137	537	3359
138	538	3338
139	540	3317
140	541	3297
141	542	3275
142	544	3260
143	545	3242
144	546	3223
145	547	3204
146	549	3188
147	551	3172
148	552	3154
149	553	3136
150	554	3117
151	555	3100
152	557	3088
153	559	3074
154	560	3057
155	562	3042
156	563	3027
157	565	3013
158	566	2997
159	567	2981
160	568	2964
161	570	2948
162	573	2943
163	574	2929
164	576	2915
165	577	2901
166	578	2886
167	579	2871
168	580	2856
169	582	2842
170	583	2827
171	584	2813
172	586	2805
173	588	2794
174	590	2781
175	591	2768
176	592	2756
177	594	2743
178	595	2730
179	596	2718
180	598	2706
181	600	2697
182	602	2689
183	603	2676
184	604	2663
185	605	2651
186	606	2638
187	608	2626
188	609	2614
189	610	2602
190	611	2589
191	613	2580
192	615	2571
193	616	2561
194	617	2550
195	618	2538
196	620	2527
197	621	2517
198	622	2507
199	624	2496
200	625	2487
201	626	2476
202	628	2465
203	629	2457
204	631	2447
205	632	2436
206	633	2426
207	634	2416
208	635	2406
209	636	2396
210	638	2386
211	639	2378
212	641	2369
213	642	2361
214	644	2352
215	645	2343
216	646	2334
217	648	2324
218	649	2315
219	650	2306
220	651	2296
221	653	2288
222	654	2280
223	655	2271
224	656	2262
225	658	2254
226	659	2247
227	661	2238
228	662	2230
229	663	2221
230	664	2212
231	666	2204
232	667	2198
233	668	2189
234	670	2181
235	671	2174
236	672	2166
237	674	2158
238	675	2151
239	677	2144
240	678	2137
241	679	2129
242	681	2122
243	682	2114
244	683	2106
245	684	2098
246	686	2092
247	687	2085
248	689	2078
249	690	2072
250	692	2064
251	693	2058
252	694	2050
253	695	2043
254	696	2036
255	698	2028
256	699	2022
257	701	2017
258	702	2010
259	703	2003
260	705	1997
261	706	1990
262	707	1983
263	709	1976
264	710	1970
265	711	1963
266	712	1956
267	714	1950
268	715	1944
269	716	1937
270	717	1931
271	719	1926
272	720	1919
273	722	1913
274	723	1906
275	724	1900
276	725	1894
277	726	1887
278	728	1882
279	729	1877
280	731	1871
281	732	1866
282	734	1860
283	735	1853
284	736	1847
285	737	1841
286	738	1835
287	740	1829
288	741	1823
289	742	1818
290	744	1813
291	745	1808
292	747	1802
293	748	1797
294	749	1791
295	750	1785
296	752	1780
297	753	1774
298	754	1768
299	755	1763
300	757	1758
301	759	1754
302	760	1749
303	761	1743
304	762	1737
305	763	1732
306	765	1726
307	766	1721
308	767	1715
309	768	1710
310	769	1705
311	771	1702
312	773	1697
313	774	1692
314	776	1688
315	778	1684
316	779	1679
317	780	1674
318	782	1669
319	783	1664
320	785	1660
321	786	1656
322	788	1651
323	789	1647
324	790	1642
325	791	1637
326	793	1632
327	794	1627
328	795	1622
329	797	1618
330	798	1614
331	799	1609
332	801	1604
333	802	1600
334	803	1595
335	805	1590
336	806	1586
337	807	1581
338	808	1576
339	809	1571
340	811	1567
341	812	1563
342	813	1559
343	815	1555
344	817	1551
345	818	1547
346	819	1542
347	821	1538
348	822	1533
349	823	1529
350	825	1525
351	826	1522
352	828	1518
353	830	1514
354	831	1510
355	832	1506
356	834	1502
357	836	1499
358	837	1495
359	838	1491
360	840	1486
361	841	1482
362	843	1479
363	845	1477
364	847	1475
365	850	1472
366	851	1468
367	852	1464
368	854	1460
369	855	1456
370	857	1453
371	860	1452
372	862	1449
373	864	1447
374	866	1444
375	868	1440
376	870	1437
377	872	1436
378	875	1433
379	877	1431
380	878	1427
381	880	1423
382	881	1419
383	882	1416
384	884	1413
385	886	1410
386	888	1407
387	890	1404
388	891	1400
389	892	1396
390	894	1392
391	895	1388
392	896	1384
393	897	1380
394	899	1377
395	901	1374
396	902	1371
397	904	1368
398	906	1364
399	907	1361
400	908	1357
401	910	1353
402	911	1349
403	913	1346
404	914	1343
405	916	1340
406	917	1336
407	918	1333
408	920	1330
409	922	1327
410	923	1323
411	924	1319
412	925	1315
413	927	1313
414	929	1310
415	930	1306
416	932	1303
417	933	1299
418	934	1296
419	936	1292
420	937	1288
421	938	1285
422	939	1281
423	941	1278
424	943	1276
425	944	1272
426	945	1269
427	946	1265
428	948	1262
429	949	1258
430	950	1255
431	951	1251
432	953	1247
433	955	1245
434	957	1243
435	959	1240
436	960	1237
437	962	1234
438	963	1231
439	965	1228
440	966	1224
441	968	1222
442	970	1220
443	973	1218
444	975	1216
445	976	1212
446	977	1209
447	979	1206
448	980	1203
449	982	1200
450	983	1196
451	985	1194
452	988	1193
453	989	1190
454	991	1187
455	992	1183
456	993	1180
457	995	1177
458	996	1174
459	997	1171
460	1000	1169
461	1002	1167
462	1003	1164
463	1005	1161
464	1006	1158
465	1008	1155
466	1009	1152
467	1010	1148
468	1011	1145
469	1013	1143
470	1015	1140
471	1016	1137
472	1018	1134
473	1019	1131
474	1020	1128
475	1022	1125
476	1023	1122
477	1025	1120
478	1028	1118
479	1029	1115
480	1031	1113
481	1033	1110
482	1034	1107
483	1036	1104
484	1037	1101
485	1038	1098
486	1040	1095
487	1041	1093
488	1043	1090
489	1045	1087
490	1046	1085
491	1048	1082
492	1049	1079
493	1051	1076
494	1052	1074
495	1054	1071
496	1055	1068
497	1057	1065
498	1058	1063
499	1060	1060
500	1061	1057
501	1062	1054
502	1064	1051
503	1065	1048
504	1066	1045
505	1068	1043
506	1070	1041
507	1072	1038
508	1073	1035
509	1075	1033
510	1076	1030
511	1077	1027
512	1079	1024
513	1080	1021
514	1082	1019
515	1083	1016
516	1085	1014
517	1087	1011
518	1088	1008
519	1089	1005
520	1091	1003
521	1092	1000
522	1093	997
523	1094	994
524	1095	991
525	1100	991
526	1101	988
527	1102	985
528	1103	982
529	1104	979
530	1106	977
531	1107	974
532	1108	971
533	1113	971
534	1114	968
535	1116	966
536	1117	963
537	1119	961
538	1120	958
539	1121	955
540	1122	952
541	1124	950
542	1126	948
543	1128	945
544	1129	942
545	1130	940
546	1131	937
547	1133	934
548	1134	932
549	1136	929
550	1137	927
551	1139	924
552	1140	921
553	1141	919
554	1143	916
555	1144	913
556	1145	910
557	1146	908
558	1147	905
559	1149	902
560	1150	900
561	1152	897
562	1156	897
563	1158	895
564	1159	892
565	1160	890
566	1162	887
567	1163	884
568	1165	882
569	1166	879
570	1168	878
571	1171	876
572	1172	873
573	1174	871
574	1175	868
575	1176	865
576	1177	863
577	1179	860
578	1180	858
579	1181	855
580	1183	853
581	1185	851
582	1186	848
583	1187	846
584	1189	843
585	1190	840
586	1191	838
587	1193	836
588	1194	833
589	1195	830
590	1198	829
591	1199	826
592	1201	824
593	1202	821
594	1203	819
595	1205	816
596	1206	814
597	1207	811
598	1208	809
599	1209	806
600	1212	804
601	1213	802
602	1214	799
603	1215	797
604	1217	794
605	1218	792
606	1219	789
607	1220	787
608	1222	784
609	1223	782
610	1225	780
611	1226	777
612	1228	775
613	1229	772
614	1230	770
615	1232	768
616	1233	765
617	1234	763
618	1235	760
619	1237	758
620	1238	755
621	1240	753
622	1241	751
623	1243	749
624	1244	746
625	1246	744
626	1247	742
627	1248	739
628	1250	737
629	1251	735
630	1253	732
631	1254	730
632	1255	728
633	1257	725
634	1258	723
635	1259	721
636	1261	718
637	1262	716
638	1263	713
639	1265	711
640	1266	709
641	1267	707
642	1269	704
643	1270	702
644	1272	700
645	1273	698
646	1275	695
647	1276	693
648	1278	691
649	1279	689
650	1281	686
651	1283	684
652	1284	682
653	1286	680
654	1287	678
655	1288	675
656	1289	673
657	1291	671
658	1292	668
659	1293	666
660	1294	664
661	1297	662
662	1298	660
663	1300	657
664	1301	655
665	1302	653
666	1304	651
667	1305	648
668	1306	646
669	1307	644
670	1309	641
671	1311	639
672	1312	637
673	1314	635
674	1315	633
675	1317	631
676	1318	629
677	1320	626
678	1321	624
679	1322	622
680	1324	620
681	1326	618
682	1330	617
683	1331	615
684	1332	612
685	1334	610
686	1335	608
687	1336	606
688	1337	603
689	1340	602
690	1343	600
691	1345	598
692	1346	596
693	1347	594
694	1348	591
695	1350	589
696	1351	587
697	1354	586
698	1358	585
699	1360	583
700	1362	581
701	1363	578
702	1364	576
703	1367	574
704	1369	572
705	1371	570
706	1372	568
707	1373	566
708	1375	564
709	1376	562
710	1378	560
711	1379	557
712	1381	555
713	1382	553
714	1385	552
715	1386	550
716	1388	547
717	1389	545
718	1391	543
719	1392	541
720	1393	539
721	1395	537
722	1397	535
723	1400	533
724	1402	531
725	1403	529
726	1405	527
727	1406	525
728	1407	523
729	1409	521
730	1411	519
731	1413	517
732	1415	515
733	1416	513
734	1417	511
735	1419	509
736	1420	506
737	1421	504
738	1423	502
739	1424	500
740	1426	498
741	1428	496
742	1429	494
743	1431	492
744	1432	490
745	1433	488
746	1434	485
747	1436	483
748	1438	482
749	1441	480
750	1443	478
751	1445	476
752	1446	474
753	1447	472
754	1449	470
755	1450	468
756	1452	466
757	1454	464
758	1456	462
759	1458	460
760	1459	458
761	1461	456
762	1462	454
763	1463	452
764	1464	450
765	1467	448
766	1469	446
767	1471	444
768	1472	442
769	1474	440
770	1475	438
771	1476	436
772	1477	433
773	1478	431
774	1481	430
775	1483	428
776	1485	426
777	1486	424
778	1487	422
779	1489	420
780	1490	417
781	1491	415
782	1493	413
783	1494	411
784	1497	410
785	1499	408
786	1501	406
787	1502	404
788	1504	402
789	1505	400
790	1506	398
791	1508	396
792	1511	394
793	1512	392
794	1514	390
795	1515	388
796	1516	386
797	1517	384
798	1519	382
799	1520	380
800	1522	378
801	1525	376
802	1526	374
803	1528	372
804	1529	370
805	1530	368
806	1532	366
807	1533	364
808	1534	362
809	1536	360
810	1538	358
811	1540	356
812	1542	354
813	1543	352
814	1545	350
815	1546	348
816	1547	346
817	1549	344
818	1550	342
819	1553	341
820	1555	339
821	1557	337
822	1558	335
823	1559	333
824	1561	331
825	1562	329
826	1563	327
827	1566	325
828	1568	323
829	1570	321
830	1571	319
831	1573	317
832	1574	315
833	1575	313
834	1577	311
835	1578	309
836	1580	307
837	1582	305
838	1584	304
839	1586	302
840	1587	300
841	1589	298
842	1590	296
843	1591	294
844	1592	292
845	1594	290
846	1596	288
847	1597	286
848	1599	284
849	1600	282
850	1602	280
851	1603	278
852	1606	276
853	1609	275
854	1610	273
855	1612	271
856	1613	269
857	1614	267
858	1615	265
859	1617	263
860	1618	261
861	1620	259
862	1623	257
863	1624	255
864	1626	253
865	1627	251
866	1629	249
867	1630	247
868	1631	246
869	1633	244
870	1637	242
871	1638	240
872	1639	238
873	1641	236
874	1642	234
875	1643	232
876	1644	230
877	1646	228
878	1649	227
879	1652	225
880	1653	223
881	1655	221
882	1656	219
883	1657	217
884	1658	215
885	1659	213
886	1663	211
887	1665	210
888	1667	208
889	1668	206
890	1669	204
891	1671	202
892	1672	200
893	1673	198
894	1674	196
895	1676	194
896	1678	192
897	1680	190
898	1681	188
899	1683	187
900	1684	185
901	1685	183
902	1687	181
903	1688	179
904	1691	177
905	1692	175
906	1694	173
907	1695	171
908	1697	169
909	1698	167
910	1699	166
911	1700	164
912	1702	162
913	1704	160
914	1706	158
915	1708	156
916	1710	154
917	1711	152
918	1712	150
919	1714	149
920	1715	147
921	1716	145
922	1718	143
923	1719	141
924	1721	139
925	1722	137
926	1724	135
927	1725	133
928	1726	131
929	1727	130
930	1728	128
931	1729	126
932	1730	124
933	1733	122
934	1735	120
935	1736	118
936	1738	116
937	1739	114
938	1740	113
939	1742	111
940	1743	109
941	1744	107
942	1746	105
943	1748	103
944	1749	101
945	1751	99
946	1752	98
947	1753	96
948	1755	94
949	1756	92
950	1757	90
951	1758	88
952	1760	86
953	1761	84
954	1763	83
955	1764	81
956	1766	79
957	1767	77
958	1768	75
959	1769	73
960	1770	71
961	1771	69
962	1773	68
963	1775	66
964	1777	64
965	1778	62
966	1779	60
967	1780	58
968	1781	56
969	1782	55
970	1783	53
971	1785	51
972	1786	49
973	1787	47
974	1789	45
975	1791	44
976	1793	42
977	1794	40
978	1795	38
979	1796	36
980	1797	34
981	1798	32
982	1800	31
983	1801	29
984	1803	27
985	1805	25
986	1806	23
987	1807	21
988	1808	20
989	1809	18
990	1811	16
991	1812	14
992	1813	12
993	1815	10
994	1816	9
995	1817	7
996	1819	5
997	1820	3
998	1822	1
999	1823	0
